Model_Tipi,Window,Vektör_Boyu,Yorum_Index,Benzerlik_Skoru,Yorum_Metni
cbow,2,100,1459,0.9990103,played game keep getting error vac unable verify game session tried verifying game file tried playing full practice match looking match nothing never issue source believe trash valve making game
cbow,2,100,1620,0.99842006,game absolute trash anti cheat like year yet developer still didnt anything cheating problem every day play dog sh meet atleast one russian cheater simply dont care know devs care money selling skin case etc overall dont recomend unless cheating problem fixed
cbow,2,100,1700,0.99797356,trash game overloaded cheater used global elite c go upon time even silver smurf account people shooting wall smoke door never get flashed etc etc yea want nerve spared mean play another shooter game try make money player skin instead fixing game valvesucks
cbow,2,100,2345,0.99652386,logging hour trash talking game vastly improved time learn shoot straight team game hooked like snorting line running police teach kid bad word
cbow,2,100,1609,0.9958296,even waste precious time ever dreamed experiencing feel non stop play cheater game eu server different type legit cheater want know exactly go youtube neverlose plague fatality memesense inixium litterally watch tutorial closet cheater playing hour including c go confirm game never infested cheater course valve removed overwatch updated vac live still anything would lose lot money since cheater indirectly participate case ecosystem used play week every wednesday case drop even bother even mention trash optimisation rx even getting stable fps drop ever lay eye smoke joke good job valve
skipgram,2,100,1459,0.9997014,played game keep getting error vac unable verify game session tried verifying game file tried playing full practice match looking match nothing never issue source believe trash valve making game
skipgram,2,100,2514,0.9990193,community trash game got kicked know map objective two got vote kick since actually killing good amount people voted
skipgram,2,100,2345,0.9990109,logging hour trash talking game vastly improved time learn shoot straight team game hooked like snorting line running police teach kid bad word
skipgram,2,100,1700,0.9988572,trash game overloaded cheater used global elite c go upon time even silver smurf account people shooting wall smoke door never get flashed etc etc yea want nerve spared mean play another shooter game try make money player skin instead fixing game valvesucks
skipgram,2,100,1620,0.9987949,game absolute trash anti cheat like year yet developer still didnt anything cheating problem every day play dog sh meet atleast one russian cheater simply dont care know devs care money selling skin case etc overall dont recomend unless cheating problem fixed
cbow,4,100,1459,0.9997849,played game keep getting error vac unable verify game session tried verifying game file tried playing full practice match looking match nothing never issue source believe trash valve making game
cbow,4,100,1620,0.99926066,game absolute trash anti cheat like year yet developer still didnt anything cheating problem every day play dog sh meet atleast one russian cheater simply dont care know devs care money selling skin case etc overall dont recomend unless cheating problem fixed
cbow,4,100,1700,0.99896264,trash game overloaded cheater used global elite c go upon time even silver smurf account people shooting wall smoke door never get flashed etc etc yea want nerve spared mean play another shooter game try make money player skin instead fixing game valvesucks
cbow,4,100,2345,0.998291,logging hour trash talking game vastly improved time learn shoot straight team game hooked like snorting line running police teach kid bad word
cbow,4,100,1609,0.99707234,even waste precious time ever dreamed experiencing feel non stop play cheater game eu server different type legit cheater want know exactly go youtube neverlose plague fatality memesense inixium litterally watch tutorial closet cheater playing hour including c go confirm game never infested cheater course valve removed overwatch updated vac live still anything would lose lot money since cheater indirectly participate case ecosystem used play week every wednesday case drop even bother even mention trash optimisation rx even getting stable fps drop ever lay eye smoke joke good job valve
skipgram,4,100,2345,0.99952054,logging hour trash talking game vastly improved time learn shoot straight team game hooked like snorting line running police teach kid bad word
skipgram,4,100,1459,0.99946046,played game keep getting error vac unable verify game session tried verifying game file tried playing full practice match looking match nothing never issue source believe trash valve making game
skipgram,4,100,2514,0.9993272,community trash game got kicked know map objective two got vote kick since actually killing good amount people voted
skipgram,4,100,1153,0.99865854,many cheater smurfs new player valve faceit esea none care actual game care profit margin skin actually pathetic much counter strike fallen actual trash game play nostalgia nostalgia seems facing hacker forgot game used like good trash devs trash game gabens fat loser care would never recommend
skipgram,4,100,1700,0.99776715,trash game overloaded cheater used global elite c go upon time even silver smurf account people shooting wall smoke door never get flashed etc etc yea want nerve spared mean play another shooter game try make money player skin instead fixing game valvesucks
cbow,2,300,1459,0.9984424,played game keep getting error vac unable verify game session tried verifying game file tried playing full practice match looking match nothing never issue source believe trash valve making game
cbow,2,300,1620,0.99693596,game absolute trash anti cheat like year yet developer still didnt anything cheating problem every day play dog sh meet atleast one russian cheater simply dont care know devs care money selling skin case etc overall dont recomend unless cheating problem fixed
cbow,2,300,1700,0.9966433,trash game overloaded cheater used global elite c go upon time even silver smurf account people shooting wall smoke door never get flashed etc etc yea want nerve spared mean play another shooter game try make money player skin instead fixing game valvesucks
cbow,2,300,2345,0.9941393,logging hour trash talking game vastly improved time learn shoot straight team game hooked like snorting line running police teach kid bad word
cbow,2,300,2514,0.9915914,community trash game got kicked know map objective two got vote kick since actually killing good amount people voted
skipgram,2,300,1459,0.9996102,played game keep getting error vac unable verify game session tried verifying game file tried playing full practice match looking match nothing never issue source believe trash valve making game
skipgram,2,300,2345,0.9991277,logging hour trash talking game vastly improved time learn shoot straight team game hooked like snorting line running police teach kid bad word
skipgram,2,300,1700,0.9989903,trash game overloaded cheater used global elite c go upon time even silver smurf account people shooting wall smoke door never get flashed etc etc yea want nerve spared mean play another shooter game try make money player skin instead fixing game valvesucks
skipgram,2,300,1620,0.9988102,game absolute trash anti cheat like year yet developer still didnt anything cheating problem every day play dog sh meet atleast one russian cheater simply dont care know devs care money selling skin case etc overall dont recomend unless cheating problem fixed
skipgram,2,300,2514,0.9985693,community trash game got kicked know map objective two got vote kick since actually killing good amount people voted
cbow,4,300,1459,0.9995401,played game keep getting error vac unable verify game session tried verifying game file tried playing full practice match looking match nothing never issue source believe trash valve making game
cbow,4,300,1620,0.999063,game absolute trash anti cheat like year yet developer still didnt anything cheating problem every day play dog sh meet atleast one russian cheater simply dont care know devs care money selling skin case etc overall dont recomend unless cheating problem fixed
cbow,4,300,1700,0.9987238,trash game overloaded cheater used global elite c go upon time even silver smurf account people shooting wall smoke door never get flashed etc etc yea want nerve spared mean play another shooter game try make money player skin instead fixing game valvesucks
cbow,4,300,2345,0.9979396,logging hour trash talking game vastly improved time learn shoot straight team game hooked like snorting line running police teach kid bad word
cbow,4,300,2514,0.99712336,community trash game got kicked know map objective two got vote kick since actually killing good amount people voted
skipgram,4,300,1459,0.99953985,played game keep getting error vac unable verify game session tried verifying game file tried playing full practice match looking match nothing never issue source believe trash valve making game
skipgram,4,300,2345,0.9994164,logging hour trash talking game vastly improved time learn shoot straight team game hooked like snorting line running police teach kid bad word
skipgram,4,300,2514,0.9993557,community trash game got kicked know map objective two got vote kick since actually killing good amount people voted
skipgram,4,300,1153,0.9981028,many cheater smurfs new player valve faceit esea none care actual game care profit margin skin actually pathetic much counter strike fallen actual trash game play nostalgia nostalgia seems facing hacker forgot game used like good trash devs trash game gabens fat loser care would never recommend
skipgram,4,300,1111,0.9980751,dogshit game always give trash bot teammate whilst enemy pro gamers impossible carry mentally ill dog zero balance ranked
